======================================================================
 Oblivious Join Complexity (O(N*M)) & Time Log
======================================================================

--- 启动 Join 阶段: Table_A ⨝ Table_B (Pipelined) ---
  [Pairing] Bucket A: 484      | Bucket B: 521      | 扫描次数 (A*B): 252,164     
  [Pairing] Bucket A: 527      | Bucket B: 521      | 扫描次数 (A*B): 274,567     
  [Pairing] Bucket A: 527      | Bucket B: 448      | 扫描次数 (A*B): 236,096     
  [Pairing] Bucket A: 446      | Bucket B: 448      | 扫描次数 (A*B): 199,808     
  [Pairing] Bucket A: 446      | Bucket B: 474      | 扫描次数 (A*B): 211,404     
  [Pairing] Bucket A: 472      | Bucket B: 474      | 扫描次数 (A*B): 223,728     
  [Pairing] Bucket A: 504      | Bucket B: 474      | 扫描次数 (A*B): 238,896     
  [Pairing] Bucket A: 504      | Bucket B: 497      | 扫描次数 (A*B): 250,488     
  [Pairing] Bucket A: 528      | Bucket B: 497      | 扫描次数 (A*B): 262,416     
  [Pairing] Bucket A: 528      | Bucket B: 489      | 扫描次数 (A*B): 258,192     
  [Pairing] Bucket A: 460      | Bucket B: 489      | 扫描次数 (A*B): 224,940     
  [Pairing] Bucket A: 460      | Bucket B: 478      | 扫描次数 (A*B): 219,880     
  [Pairing] Bucket A: 483      | Bucket B: 478      | 扫描次数 (A*B): 230,874     
  [Pairing] Bucket A: 454      | Bucket B: 478      | 扫描次数 (A*B): 217,012     
  [Pairing] Bucket A: 454      | Bucket B: 506      | 扫描次数 (A*B): 229,724     
  [Pairing] Bucket A: 507      | Bucket B: 506      | 扫描次数 (A*B): 256,542     
  [Pairing] Bucket A: 507      | Bucket B: 505      | 扫描次数 (A*B): 256,035     
  [Pairing] Bucket A: 522      | Bucket B: 505      | 扫描次数 (A*B): 263,610     
  [Pairing] Bucket A: 522      | Bucket B: 512      | 扫描次数 (A*B): 267,264     
  [Pairing] Bucket A: 503      | Bucket B: 512      | 扫描次数 (A*B): 257,536     
  [Pairing] Bucket A: 503      | Bucket B: 499      | 扫描次数 (A*B): 250,997     
  [Pairing] Bucket A: 485      | Bucket B: 499      | 扫描次数 (A*B): 242,015     
  [Pairing] Bucket A: 480      | Bucket B: 499      | 扫描次数 (A*B): 239,520     
  [Pairing] Bucket A: 480      | Bucket B: 493      | 扫描次数 (A*B): 236,640     
  [Pairing] Bucket A: 479      | Bucket B: 493      | 扫描次数 (A*B): 236,147     
  [Pairing] Bucket A: 479      | Bucket B: 485      | 扫描次数 (A*B): 232,315     
  [Pairing] Bucket A: 494      | Bucket B: 485      | 扫描次数 (A*B): 239,590     
  [Pairing] Bucket A: 494      | Bucket B: 534      | 扫描次数 (A*B): 263,796     
  [Pairing] Bucket A: 497      | Bucket B: 534      | 扫描次数 (A*B): 265,398     
  [Pairing] Bucket A: 506      | Bucket B: 467      | 扫描次数 (A*B): 236,302     
  [Pairing] Bucket A: 471      | Bucket B: 467      | 扫描次数 (A*B): 219,957     
  [Pairing] Bucket A: 471      | Bucket B: 471      | 扫描次数 (A*B): 221,841     
  [Pairing] Bucket A: 506      | Bucket B: 471      | 扫描次数 (A*B): 238,326     
  [Pairing] Bucket A: 506      | Bucket B: 521      | 扫描次数 (A*B): 263,626     
  [Pairing] Bucket A: 531      | Bucket B: 521      | 扫描次数 (A*B): 276,651     
  [Pairing] Bucket A: 531      | Bucket B: 508      | 扫描次数 (A*B): 269,748     
  [Pairing] Bucket A: 485      | Bucket B: 508      | 扫描次数 (A*B): 246,380     
  [Pairing] Bucket A: 485      | Bucket B: 470      | 扫描次数 (A*B): 227,950     
  [Pairing] Bucket A: 485      | Bucket B: 470      | 扫描次数 (A*B): 227,950     
  [Pairing] Bucket A: 470      | Bucket B: 470      | 扫描次数 (A*B): 220,900     
  [Pairing] Bucket A: 470      | Bucket B: 461      | 扫描次数 (A*B): 216,670     
  [Pairing] Bucket A: 504      | Bucket B: 461      | 扫描次数 (A*B): 232,344     
  [Pairing] Bucket A: 504      | Bucket B: 470      | 扫描次数 (A*B): 236,880     
  [Pairing] Bucket A: 511      | Bucket B: 470      | 扫描次数 (A*B): 240,170     
  [Pairing] Bucket A: 511      | Bucket B: 519      | 扫描次数 (A*B): 265,209     
  [Pairing] Bucket A: 481      | Bucket B: 519      | 扫描次数 (A*B): 249,639     
  [Pairing] Bucket A: 481      | Bucket B: 473      | 扫描次数 (A*B): 227,513     
  [Pairing] Bucket A: 493      | Bucket B: 473      | 扫描次数 (A*B): 233,189     
  [Pairing] Bucket A: 493      | Bucket B: 505      | 扫描次数 (A*B): 248,965     
  [Pairing] Bucket A: 501      | Bucket B: 505      | 扫描次数 (A*B): 253,005     
  [Pairing] Bucket A: 501      | Bucket B: 520      | 扫描次数 (A*B): 260,520     
  [Pairing] Bucket A: 506      | Bucket B: 520      | 扫描次数 (A*B): 263,120     
  [Pairing] Bucket A: 499      | Bucket B: 520      | 扫描次数 (A*B): 259,480     
  [Pairing] Bucket A: 499      | Bucket B: 507      | 扫描次数 (A*B): 252,993     
  [Pairing] Bucket A: 500      | Bucket B: 507      | 扫描次数 (A*B): 253,500     
  [Pairing] Bucket A: 500      | Bucket B: 465      | 扫描次数 (A*B): 232,500     
  [Pairing] Bucket A: 433      | Bucket B: 465      | 扫描次数 (A*B): 201,345     
  [Pairing] Bucket A: 433      | Bucket B: 450      | 扫描次数 (A*B): 194,850     
